GeneID	Chr	Start	End	Strand	Tumor_1	Tumor_2	Tumor_3	Normal_1	Normal_2	Normal_3	Pathway
AKT1	chr14	104769349	104795743	-	1240	1265	1218	180	188	175	Signaling
BAX	chr19	48955568	48961798	+	95	88	102	450	462	438	Apoptosis
BRCA2	chr13	32889611	32973805	+	198	210	203	110	108	114	DNA_Repair
FOXO3	chr6	108881025	109015106	-	125	132	118	420	432	408	Apoptosis
MDM2	chr12	68808170	68850686	+	920	948	905	145	138	155	Tumor_Suppressor
MYC	chr8	127735434	127742951	+	1450	1489	1421	210	198	220	Oncogene
NEWGENE1	chr1	123456	123789	+	23	24	22	15	16	15	Test_Pathway
NEWGENE2	chr2	987654	988888	-	30	31	33	18	19	19	Test_Pathway
TP53	chr17	7668402	7687550	-	892	905	876	398	412	389	Tumor_Suppressor
VEGFA	chr6	43770209	43786487	+	1350	1380	1320	145	138	152	Angiogenesis
WNT5A	chr3	55465800	55522098	-	820	845	798	105	98	115	Wnt_Pathway
